manufacturer;model_name;detail_name;hsn;tsn;displacement;power;year_from;year_to;engine_type;target_bucket
Skoda;Octavia;1Z (OCTAVIA COMBI 2.0 TDI 4X4);8004;AMK;1968;81;2011;2013;Diesel;2
Skoda;Octavia;1Z (OCTAVIA COMBI 2.0 TDI);8004;AMJ;1968;81;2011;2013;Diesel;2
Skoda;Octavia;1Z (OCTAVIA COMBI 2.0 TDI);8004;ALY;1968;81;2011;2013;Diesel;2
Skoda;Octavia;1Z (OCTAVIA 2.0 TDI);8004;ALX;1968;81;2011;2013;Diesel;2
Skoda;Octavia;1Z (OCTAVIA 2.0 TDI);8004;ADO;1968;103;2005;2013;Diesel;2
Skoda;Octavia;1Z (OCTAVIA COMBI 2.0 TDI);8004;AEH;1968;103;2005;2013;Diesel;2
Skoda;Octavia;1Z (OCTAVIA COMBI 2.0 TDI);8004;ADX;1968;103;2005;2013;Diesel;2
Skoda;Octavia;1Z (OCTAVIA COMBI 2.0 TDI 4X4);8004;AHD;1968;103;2009;2013;Diesel;2
Skoda;Octavia;1Z (OCTAVIA COMBI 2.0 TDI 4X4);8004;AFE;1968;103;2006;2013;Diesel;2
Skoda;Octavia;1Z (OCTAVIA RS 2.0 TDI);8004;AEQ;1968;125;2006;2013;Diesel;2
Skoda;Octavia;1Z (OCTAVIA COMBI RS 2.0 TDI);8004;AEP;1968;125;2006;2013;Diesel;2
Skoda;Rapid;NH (RAPID 1.6 TDI);8004;AOH;1598;66;2013;2019;Diesel;2
Skoda;Rapid;NH (RAPID 1.6 TDI);8004;AOG;1598;66;2013;2019;Diesel;2
Skoda;Rapid;NH (RAPID SPACEBACK 1.6 TDI);8004;AOE;1598;66;2013;2019;Diesel;2
Skoda;Rapid;NH (RAPID SPACEBACK 1.6 TDI);8004;AOF;1598;77;2013;2019;Diesel;2
Skoda;Rapid;NH (RAPID 1.6 TDI);8004;AMY;1598;77;2012;2019;Diesel;2
Skoda;Rapid;NH (RAPID 1.6 TDI);8004;AMW;1598;77;2012;2019;Diesel;2
Skoda;Roomster;5J (ROOMSTER 1.6 TDI);8004;AJV;1598;66;2010;2015;Diesel;2
Skoda;Roomster;5J (ROOMSTER 1.6 TDI);8004;AKE;1598;77;2010;2015;Diesel;2
Skoda;Superb;3T (SUPERB 1.6 TDI);8004;ALD;1598;77;2010;2015;Diesel;2
Skoda;Superb;3T (SUPERB 1.9 TDI);8004;AGF;1896;77;2008;2015;Diesel;2
Skoda;Superb;3T (SUPERB COMBI 1.6 TDI);8004;ALF;1598;77;2010;2015;Diesel;2
Skoda;Superb;3T (SUPERB COMBI 1.6 TDI);8004;ALE;1598;77;2010;2015;Diesel;2
Skoda;Superb;3T (SUPERB COMBI 1.9 TDI);8004;AJF;1896;77;2010;2015;Diesel;2
Skoda;Superb;3T (SUPERB COMBI 1.9 TDI);8004;AIM;1896;77;2009;2015;Diesel;2
Skoda;Superb;3T (SUPERB 2.0 TDI 4X4);8004;ALI;1968;103;2011;2015;Diesel;2
Skoda;Superb;3T (SUPERB 2.0 TDI);8004;AGG;1968;103;2008;2015;Diesel;2
Skoda;Superb;3T (SUPERB COMBI 2.0 TDI 4X4);8004;ALK;1968;103;2011;2015;Diesel;2
Skoda;Superb;3T (SUPERB COMBI 2.0 TDI 4X4);8004;ALJ;1968;103;2011;2015;Diesel;2
Skoda;Superb;3T (SUPERB COMBI 2.0 TDI);8004;AJG;1968;103;2010;2015;Diesel;2
Skoda;Superb;3T (SUPERB COMBI 2.0 TDI);8004;AIO;1968;103;2009;2015;Diesel;2
Skoda;Superb;3T (SUPERB COMBI 2.0 TDI 4X4);8004;AJJ;1968;125;2010;2015;Diesel;2
Skoda;Superb;3T (SUPERB COMBI 2.0 TDI);8004;AJI;1968;125;2010;2015;Diesel;2
Skoda;Superb;3T (SUPERB COMBI 2.0 TDI 4X4);8004;AIT;1968;125;2009;2015;Diesel;2
Skoda;Superb;3T (SUPERB COMBI 2.0 TDI);8004;AIQ;1968;125;2009;2015;Diesel;2
Skoda;Superb;3T (SUPERB 2.0 TDI 4X4);8004;AGK;1968;125;2008;2015;Diesel;2
Skoda;Superb;3T (SUPERB 2.0 TDI);8004;AGH;1968;125;2008;2015;Diesel;2
Skoda;Yeti;5L (YETI 1.6 TDI);8004;ALH;1598;77;2010;2018;Diesel;2
Skoda;Yeti;5L (YETI 1.6 TDI);8004;ALG;1598;77;2010;2018;Diesel;2
Skoda;Yeti;5L (YETI 2.0 TDI 4X4);8004;AJE;1968;81;2010;2018;Diesel;2
Skoda;Yeti;5L (YETI 2.0 TDI);8004;AJD;1968;81;2010;2018;Diesel;2
Skoda;Yeti;5L (YETI 2.0 TDI 4X4);8004;AGZ;1968;81;2009;2018;Diesel;2
Skoda;Yeti;5L (YETI 2.0 TDI);8004;AGY;1968;81;2009;2018;Diesel;2
Skoda;Yeti;5L (YETI 2.0 TDI 4X4);8004;AIX;1968;103;2009;2018;Diesel;2
Skoda;Yeti;5L (YETI 2.0 TDI 4X4);8004;AHA;1968;103;2009;2018;Diesel;2
Skoda;Yeti;5L (YETI 2.0 TDI);8004;AMQ;1968;103;2012;2018;Diesel;2
Skoda;Yeti;5L (YETI 2.0 TDI);8004;AMP;1968;103;2012;2018;Diesel;2
Skoda;Yeti;5L (YETI 2.0 TDI 4X4);8004;AJA;1968;125;2009;2018;Diesel;2
Skoda;Yeti;5L (YETI 2.0 TDI 4X4);8004;AHB;1968;125;2009;2018;Diesel;2
VW;Amarok;2HS2 (AMAROK 2.0 TDI ALLRAD);0603;986;1968;103;2013;2018;Diesel;2
VW;Amarok;2HS2 (AMAROK 2.0 TDI);0603;985;1968;103;2013;2018;Diesel;2
VW;Amarok;2H (AMAROK 2.0 TDI ALLRAD);0603;984;1968;103;2013;2018;Diesel;2
VW;Amarok;2H (AMAROK 2.0 TDI);0603;983;1968;103;2013;2018;Diesel;2
VW;Amarok;2HS2 (AMAROK 2.0 TDI);0603;982;1968;132;2013;2018;Diesel;2
VW;Amarok;2H (AMAROK 2.0 TDI);0603;981;1968;132;2013;2018;Diesel;2
VW;Amarok;2HS2 (AMAROK 2.0 TDI ALLRAD);0603;980;1968;132;2013;2018;Diesel;2
VW;Amarok;2H (AMAROK 2.0 TDI ALLRAD);0603;979;1968;132;2013;2018;Diesel;2
VW;Amarok;2HS2 (AMAROK 2.0 TDI ALLRAD);0603;978;1968;120;2013;2018;Diesel;2
VW;Amarok;2HS2 (AMAROK 2.0 TDI);0603;977;1968;120;2013;2018;Diesel;2
VW;Amarok;2HS2 (AMAROK 2.0 TDI ALLRAD);0603;976;1968;90;2013;2018;Diesel;2
VW;Amarok;2HS2 (AMAROK 2.0 TDI);0603;975;1968;90;2013;2018;Diesel;2
VW;Amarok;2H (AMAROK 2.0 TDI ALLRAD);0603;973;1968;120;2011;2018;Diesel;2
VW;Amarok;2H (AMAROK 2.0 TDI);0603;972;1968;120;2011;2018;Diesel;2
VW;Amarok;2H (AMAROK 2.0 TDI ALLRAD);0603;971;1968;90;2011;2018;Diesel;2
VW;Amarok;2H (AMAROK 2.0 TDI);0603;970;1968;90;2011;2018;Diesel;2
VW;Beetle;16 (BEETLE CABRIO 1.6 TDI);0603;BJL;1598;77;2012;2019;Diesel;2
VW;Beetle;16 (BEETLE CABRIO 2.0 TDI);0603;BJA;1968;103;2012;2019;Diesel;2
VW;Beetle;16 (BEETLE 2.0 TDI);0603;BIB;1968;103;2012;2018;Diesel;2
